date,acc,PID
08:34.1,2.56705E+11,DJGS
55:19.3,2.56702E+11,6Q4Z
14:25.6,2.56774E+11,WLIW
21:30.0,2.56753E+11,Q9SJ
08:32.6,2.56703E+11,0ZFO
27:40.9,2.56705E+11,WLIW
45:48.9,2.56703E+11,WLIW
07:57.3,2.56774E+11,WLIW
11:16.3,2.56773E+11,6Q4Z
02:59.3,2.56705E+11,80G0
24:13.6,2.56757E+11,80G0
42:07.8,2.56774E+11,80G0
08:08.7,2.56792E+11,80G0
32:26.1,2.56756E+11,WLIW
11:12.1,2.56754E+11,U1DD
35:16.7,2.56774E+11,WLIW
15:54.5,2.56703E+11,WLIW
51:11.6,2.56756E+11,80G0
56:31.0,2.56774E+11,WLIW
17:54.6,2.56788E+11,U1DD
34:51.9,2.56783E+11,WLIW
24:41.0,2.5678E+11,DJGS
39:14.0,2.5679E+11,WLIW
32:33.0,2.567E+11,80G0
21:32.3,2.56771E+11,80G0
02:50.2,2.56703E+11,WLIW
05:42.4,2.56781E+11,WLIW
00:10.5,2.56755E+11,WLIW
54:49.0,2.56755E+11,U1DD
34:49.5,2.56703E+11,T0LZ
55:39.7,2.56777E+11,WLIW
00:46.4,2.56701E+11,WLIW
40:13.9,2.56704E+11,Q9SJ
46:55.2,2.56772E+11,2F3O
31:59.0,2.56704E+11,U1DD
18:29.7,2.56701E+11,WLIW
35:46.1,2.56752E+11,3USE
02:45.9,2.56701E+11,80G0
55:51.0,2.56785E+11,WLIW
05:11.6,2.56705E+11,U1DD
30:43.7,2.56774E+11,WLIW
57:24.5,2.56701E+11,80G0
44:31.0,2.56702E+11,80G0
24:29.5,2.56783E+11,80G0
39:35.8,2.56701E+11,6Q4Z
43:56.0,2.56759E+11,DJGS
30:07.5,2.56772E+11,80G0
38:03.7,2.56776E+11,U1DD
34:35.6,2.56776E+11,DJGS
52:57.2,2.56708E+11,3USE
55:25.2,2.56701E+11,80G0
15:48.8,2.56701E+11,6Q4Z
49:18.6,2.56775E+11,U1DD
58:17.6,2.56777E+11,80G0
43:13.4,2.56755E+11,WLIW
55:39.7,2.56701E+11,T0LZ
21:44.0,2.56772E+11,T0LZ
26:38.8,2.56703E+11,WLIW
51:06.5,2.56701E+11,WLIW
03:15.5,2.56785E+11,WLIW
50:24.9,2.56701E+11,U1DD
22:01.4,2.56701E+11,WLIW
14:16.4,2.56753E+11,49DG
09:23.6,2.56788E+11,80G0
23:47.7,2.56705E+11,80G0
45:15.1,2.56774E+11,3USE
11:28.6,2.56754E+11,80G0
30:57.1,2.56709E+11,T0LZ
57:59.3,2.56781E+11,WLIW
53:38.6,2.56752E+11,U1DD
35:20.1,2.56774E+11,3USE
13:43.6,2.56785E+11,WLIW
22:03.5,2.56785E+11,WLIW
07:13.2,2.56757E+11,T0LZ
13:10.1,2.56705E+11,DJGS
31:48.5,2.56702E+11,6Q4Z
37:25.5,2.56753E+11,WLIW
59:58.9,2.56701E+11,WLIW
19:05.3,2.56774E+11,WLIW
13:37.3,2.56774E+11,WLIW
47:59.7,2.56772E+11,U1DD
45:33.3,2.56771E+11,WLIW
27:37.7,2.56773E+11,80G0
05:28.7,2.56701E+11,U1DD
55:26.9,2.56777E+11,6Q4Z
44:28.0,2.5678E+11,WLIW
15:40.0,2.56701E+11,6Q4Z
48:33.7,2.5678E+11,3USE
52:21.2,2.56705E+11,80G0
51:13.2,2.56777E+11,0ZFO
45:50.3,2.56703E+11,U1DD
23:02.3,2.56701E+11,WLIW
11:36.6,2.56773E+11,80G0
00:15.2,2.56792E+11,80G0
21:26.9,2.56784E+11,WLIW
22:25.9,2.56703E+11,DJGS
25:54.2,2.56752E+11,WLIW
15:34.3,2.56773E+11,U1DD
26:40.8,2.56781E+11,WLIW
25:04.6,2.56701E+11,6Q4Z
24:15.2,2.56703E+11,WLIW
00:12.5,2.56781E+11,WLIW
01:09.7,2.56776E+11,80G0
55:44.0,2.56773E+11,CPEH
29:35.3,2.56772E+11,U1DD
50:46.9,2.56772E+11,5YR6
52:57.1,2.56781E+11,DJGS
44:14.5,2.56789E+11,WLIW
39:56.5,2.56785E+11,U1DD
33:33.8,2.56775E+11,DJGS
28:08.7,2.56312E+11,80G0
52:17.8,2.56701E+11,WLIW
33:00.4,2.56708E+11,3USE
42:28.8,2.56703E+11,WLIW
53:28.9,2.56758E+11,80G0
17:05.5,2.56781E+11,WLIW
44:33.7,2.56778E+11,WLIW
35:10.3,2.56705E+11,80G0
54:32.9,2.56787E+11,80G0
31:46.3,2.5675E+11,80G0
36:53.8,2.56703E+11,DJGS
31:30.6,2.56701E+11,6Q4Z
20:51.0,2.56778E+11,WLIW
55:39.1,2.56756E+11,DJGS
36:10.2,2.56E+11,U1DD
28:34.4,2.56701E+11,U1DD
51:38.6,2.56777E+11,P7R7
29:41.7,2.56781E+11,49DG
05:37.4,2.56776E+11,80G0
02:17.1,2.56703E+11,DJGS
05:06.9,2.56752E+11,DJGS
37:39.1,2.56774E+11,WLIW
34:59.7,2.56772E+11,U1DD
52:09.4,2.56703E+11,WLIW
58:47.9,2.56701E+11,WLIW
53:42.0,2.5676E+11,80G0
51:26.5,2.56705E+11,DJGS
29:19.9,2.56755E+11,DJGS
07:04.0,2.56751E+11,WLIW
17:44.7,2.567E+11,T2MU
00:51.9,2.56704E+11,YEPH
52:10.7,2.56701E+11,80G0
13:30.8,2.56752E+11,WLIW
57:55.9,2.56701E+11,U1DD
23:50.0,2.5675E+11,WLIW
14:05.5,2.56701E+11,WLIW
50:34.8,2.56705E+11,6Q4Z
46:13.3,2.56703E+11,6Q4Z
35:08.7,2.56786E+11,WLIW
38:22.8,2.56705E+11,WLIW
13:33.9,2.56701E+11,6Q4Z
57:27.1,2.56775E+11,U1DD
54:53.4,2.56787E+11,U1DD
21:00.4,2.5675E+11,3USE
50:34.4,2.56702E+11,80G0
54:39.0,2.56701E+11,WLIW
22:55.3,2.56703E+11,T0LZ
28:51.3,2.56753E+11,DJGS
10:54.6,2.56757E+11,T0LZ
45:12.4,2.56701E+11,WLIW
50:10.0,2.56705E+11,WLIW
43:04.2,2.56701E+11,WLIW
00:59.2,2.56779E+11,DJGS
59:04.7,2.56756E+11,WLIW
31:03.0,2.56787E+11,80G0
15:35.9,2.56777E+11,U1DD
25:15.9,2.56704E+11,WLIW
16:33.6,2.56773E+11,WLIW
06:07.8,2.56785E+11,WLIW
22:10.7,2.56702E+11,80G0
27:04.9,2.56793E+11,80G0
26:44.7,2.56773E+11,WLIW
56:30.7,2.56703E+11,WLIW
05:31.9,2.56781E+11,WLIW
35:08.9,2.56773E+11,80G0
55:09.4,2.56701E+11,U1DD
06:16.9,2.56786E+11,U1DD
28:12.3,2.56778E+11,3USE
34:17.4,2.56779E+11,U1DD
18:43.0,2.56781E+11,WLIW
46:05.5,2.56701E+11,WLIW
42:10.6,2.56753E+11,T0LZ
54:45.6,2.56782E+11,DJGS
50:09.3,2.56783E+11,WLIW
19:15.9,2.56703E+11,U1DD
42:07.6,2.56774E+11,3USE
04:36.2,2.56785E+11,WLIW
22:20.7,2.56783E+11,80G0
59:24.3,2.56777E+11,6Q4Z
30:39.1,2.56758E+11,80G0
11:27.5,2.56704E+11,WLIW
49:08.4,2.56779E+11,T0LZ
46:39.5,2.56703E+11,WLIW
41:10.3,2.56701E+11,U1DD
59:27.6,2.56774E+11,T0LZ
47:01.2,2.56777E+11,80G0
50:00.8,2.56705E+11,WLIW
54:43.2,2.56779E+11,WLIW
13:00.1,2.56773E+11,U1DD
07:55.2,2.56756E+11,80G0
49:11.5,2.56701E+11,U1DD
19:44.5,2.56772E+11,80G0
21:50.5,2.56757E+11,T0LZ
40:23.9,2.56781E+11,80G0
45:21.0,2.56702E+11,P7R7
06:31.4,2.56773E+11,WLIW
05:35.4,2.56789E+11,WLIW
20:51.8,2.56705E+11,WLIW
39:40.2,2.56783E+11,P7R7
12:39.6,2.56756E+11,80G0
18:03.4,2.56782E+11,80G0
03:24.5,2.56701E+11,U1DD
05:46.9,2.56702E+11,Q9SJ
41:35.4,2.56772E+11,U1DD
57:29.3,2.56705E+11,93AI
51:57.1,2.56753E+11,WLIW
10:50.4,2.56774E+11,T0LZ
48:06.6,2.56759E+11,DJGS
03:28.2,2.56772E+11,U1DD
24:39.6,2.56752E+11,80G0
11:53.2,2.56702E+11,WLIW
57:11.8,2.56759E+11,WLIW
17:21.7,2.56708E+11,3USE
03:46.2,2.5678E+11,DJGS
29:28.6,2.56701E+11,WLIW
08:56.6,2.56783E+11,WLIW
44:09.2,2.567E+11,U1DD
20:13.6,2.56785E+11,WLIW
38:09.3,2.56771E+11,WLIW
46:22.9,2.56701E+11,6Q4Z
25:54.9,2.56702E+11,U1DD
57:53.5,2.56779E+11,WLIW
49:10.7,2.56781E+11,WLIW
03:45.8,2.56701E+11,80G0
35:07.0,2.56701E+11,WLIW
01:53.8,2.56705E+11,80G0
35:55.5,2.56753E+11,WLIW
38:41.1,2.56704E+11,U1DD
49:04.4,2.56774E+11,T0LZ
13:26.2,2.56772E+11,3USE
59:08.6,2.56774E+11,80G0
57:33.5,2.56785E+11,80G0
08:14.5,2.56785E+11,80G0
03:42.2,2.56785E+11,U1DD
52:10.1,2.56781E+11,DJGS
49:05.1,2.56703E+11,WLIW
56:39.1,2.56703E+11,U1DD
07:47.2,2.56755E+11,WLIW
30:21.9,2.56705E+11,U1DD
29:13.1,2.56701E+11,3USE
17:42.7,2.56705E+11,80G0
22:37.2,2.5678E+11,WLIW
02:24.1,2.56783E+11,80G0
08:34.7,2.56773E+11,WLIW
38:46.6,2.56785E+11,WLIW
54:04.0,2.56783E+11,WLIW
02:09.9,2.56701E+11,WLIW
36:25.3,2.56752E+11,Q9SJ
52:56.0,2.56752E+11,49DG
41:52.4,2.56703E+11,WLIW
59:41.7,2.56789E+11,6Q4Z
24:30.0,2.56789E+11,U1DD
22:16.7,2.56774E+11,WLIW
30:39.1,2.56776E+11,DJGS
21:22.3,2.56774E+11,T0LZ
02:15.8,2.56701E+11,80G0
27:06.7,2.56774E+11,DJGS
36:32.9,2.56772E+11,T0LZ
46:18.6,2.567E+11,WLIW
22:59.7,2.56782E+11,DJGS
11:42.8,2.56785E+11,WLIW
20:05.7,2.56706E+11,U1DD
56:25.4,2.56785E+11,WLIW
49:40.8,2.56703E+11,T0LZ
44:39.8,2.56E+11,U1DD
37:54.5,2.56703E+11,T0LZ
06:25.8,2.56705E+11,T0LZ
25:09.6,2.56752E+11,Q9SJ
20:28.1,2.56703E+11,WLIW
26:56.2,2.56701E+11,WLIW
30:43.2,2.56705E+11,Q9SJ
33:23.7,2.56774E+11,WLIW
38:34.1,2.56778E+11,6Q4Z
55:36.9,2.56758E+11,3USE
05:25.3,2.56789E+11,U1DD
29:04.8,2.56775E+11,WLIW
54:08.3,2.56792E+11,DJGS
48:55.5,2.56752E+11,DJGS
48:24.0,2.56785E+11,WLIW
01:07.3,2.56774E+11,WLIW
53:25.8,2.56774E+11,WLIW
32:44.6,2.56753E+11,U1DD
00:03.0,2.56701E+11,WLIW
30:56.2,2.56781E+11,80G0
04:43.2,2.56758E+11,80G0
41:27.4,2.56756E+11,80G0
45:51.3,2.56705E+11,WLIW
38:52.6,2.56706E+11,80G0
53:41.9,2.56779E+11,U1DD
41:49.4,2.56701E+11,U1DD
07:48.0,2.56755E+11,WLIW
18:01.9,2.5678E+11,T0LZ
04:02.6,2.56777E+11,WLIW
23:01.8,2.56774E+11,WLIW
14:33.7,2.56783E+11,Q9SJ
07:40.6,2.56701E+11,WLIW
31:18.4,2.56774E+11,WLIW
21:32.3,2.56787E+11,80G0
43:23.7,2.56772E+11,0ZFO
36:27.5,2.56772E+11,U1DD
44:14.1,2.5675E+11,80G0
50:44.8,2.56776E+11,U1DD
14:51.2,2.56757E+11,WLIW
42:28.4,2.56705E+11,WLIW
40:58.0,2.56774E+11,5YR6
23:52.5,2.56773E+11,WLIW
35:19.0,2.56785E+11,6Q4Z
23:39.0,2.56794E+11,DJGS
42:30.3,2.56706E+11,WLIW
32:53.1,2.56787E+11,6Q4Z
09:14.5,2.56701E+11,80G0
41:01.3,2.56781E+11,WLIW
59:15.0,2.56753E+11,WLIW
01:10.3,2.56702E+11,DJGS
33:06.8,2.56787E+11,WLIW
17:44.3,2.567E+11,80G0
47:23.7,2.56782E+11,WLIW
25:52.1,2.56774E+11,U1DD
41:48.1,2.56703E+11,U1DD
10:57.7,2.56702E+11,T0LZ
37:38.2,2.56783E+11,DJGS
42:17.2,2.56772E+11,80G0
40:47.9,2.56772E+11,80G0
42:56.6,2.56705E+11,80G0
11:23.5,2.56707E+11,WLIW
51:54.5,2.56781E+11,3USE
08:46.3,2.56788E+11,T0LZ
08:27.7,2.56781E+11,80G0
56:02.3,2.56782E+11,80G0
58:34.0,2.5678E+11,WLIW
57:43.5,2.56784E+11,WLIW
46:37.1,2.56709E+11,80G0
27:18.1,2.56703E+11,WLIW
25:05.8,2.56782E+11,6Q4Z
49:43.1,2.56312E+11,80G0
31:10.3,2.56793E+11,DJGS
26:23.9,2.56779E+11,DJGS
56:09.7,2.567E+11,U1DD
26:15.0,2.56776E+11,WLIW
53:30.7,2.56782E+11,WLIW
45:00.4,2.56754E+11,WLIW
30:26.5,2.56782E+11,WLIW
13:19.9,2.56701E+11,WLIW
47:59.8,2.56752E+11,3USE
33:46.3,2.56312E+11,80G0
28:46.5,2.56705E+11,WLIW
14:27.5,2.56755E+11,T0LZ
26:13.3,2.56708E+11,WLIW
17:39.1,2.56774E+11,WLIW
36:35.0,2.56756E+11,DJGS
47:33.0,2.56707E+11,80G0
11:08.0,2.56701E+11,WLIW
29:35.2,2.56774E+11,80G0
21:21.6,2.56705E+11,DJGS
03:44.4,2.56785E+11,WLIW
42:21.8,2.56708E+11,5YR6
47:34.5,2.56706E+11,80G0
01:58.0,2.56785E+11,WLIW
59:04.3,2.56774E+11,WLIW
52:33.3,2.56774E+11,WLIW
24:14.1,2.56784E+11,WLIW
17:27.7,2.56701E+11,6Q4Z
18:22.0,2.56795E+11,P7R7
31:20.5,2.56772E+11,P7R7
59:05.2,2.56701E+11,WLIW
57:00.7,2.56703E+11,WLIW
28:30.8,2.56755E+11,3USE
34:13.3,2.56781E+11,WLIW
09:51.9,2.56703E+11,80G0
08:31.9,2.56785E+11,WLIW
25:59.0,2.56774E+11,WLIW
50:27.6,2.56708E+11,80G0
07:19.2,2.56776E+11,DJGS
52:33.5,2.56705E+11,WLIW
15:28.3,2.56794E+11,DJGS
37:59.1,2.56752E+11,DJGS
05:22.7,2.56774E+11,WLIW
45:53.3,2.56787E+11,80G0
48:30.2,2.56753E+11,U1DD
31:53.2,2.56701E+11,U1DD
42:54.0,2.56704E+11,80G0
48:26.9,2.56757E+11,Q9SJ
58:49.8,2.56312E+11,80G0
27:55.0,2.56754E+11,U1DD
36:52.2,2.56752E+11,U1DD
41:51.2,2.56702E+11,6Q4Z
39:38.9,2.56787E+11,80G0
52:59.0,2.56781E+11,P7R7
10:01.7,2.56773E+11,DJGS
56:37.7,2.56702E+11,80G0
07:06.7,2.56701E+11,WLIW
28:49.2,2.56784E+11,WLIW
46:02.4,2.56706E+11,80G0
32:16.4,2.56757E+11,80G0
56:59.7,2.56701E+11,80G0
23:22.2,2.56701E+11,WLIW
40:53.9,2.5675E+11,WLIW
43:47.9,2.56312E+11,80G0
30:11.2,2.56781E+11,WLIW
06:54.6,2.56754E+11,WLIW
14:29.5,2.56779E+11,80G0
25:23.4,2.56776E+11,WLIW
51:53.0,2.56754E+11,80G0
29:14.8,2.56775E+11,WLIW
30:24.6,2.56701E+11,WLIW
20:20.6,2.56781E+11,T0LZ
46:00.4,2.56755E+11,P7R7
04:03.7,2.5675E+11,WLIW
08:59.5,2.56781E+11,WLIW
49:17.2,2.56789E+11,80G0
58:02.0,2.56702E+11,CPEH
30:28.1,2.56774E+11,DJGS
57:21.8,2.56778E+11,U1DD
07:08.8,2.56774E+11,U1DD
22:43.8,2.56775E+11,6Q4Z
52:27.4,2.56788E+11,U1DD
03:16.9,2.56703E+11,U1DD
31:31.5,2.56788E+11,U1DD
47:24.4,2.56701E+11,WLIW
02:15.3,2.56774E+11,WLIW
31:38.1,2.56753E+11,WLIW
14:37.1,2.56781E+11,WLIW
08:40.7,2.5675E+11,WLIW
47:49.0,2.56774E+11,U1DD
03:37.0,2.56776E+11,U1DD
01:21.9,2.56702E+11,80G0
38:10.6,2.56703E+11,P7R7
00:27.0,2.56774E+11,DJGS
03:08.9,2.56705E+11,WLIW
26:14.9,2.56787E+11,WLIW
50:57.7,2.56393E+11,80G0
37:10.2,2.56707E+11,WLIW
43:47.9,2.56777E+11,80G0
05:57.0,2.56785E+11,WLIW
44:45.9,2.56776E+11,80G0
19:51.6,2.56701E+11,WLIW
54:29.6,2.5679E+11,WLIW
33:03.0,2.56752E+11,WLIW
10:42.7,2.56706E+11,U1DD
46:02.9,2.56703E+11,WLIW
45:38.0,2.56703E+11,U1DD
39:36.4,2.56794E+11,DJGS
24:23.4,2.56703E+11,DJGS
18:50.9,2.56785E+11,WLIW
02:20.5,2.56756E+11,80G0
41:08.4,2.56705E+11,WLIW
37:16.4,2.56785E+11,WLIW
36:09.5,2.56774E+11,DJGS
47:12.3,2.56754E+11,T0LZ
41:16.7,2.56783E+11,DJGS
39:35.6,2.56701E+11,YEPH
02:04.3,2.56791E+11,WLIW
33:55.3,2.56782E+11,80G0
12:01.5,2.56701E+11,6Q4Z
03:11.2,2.56703E+11,T0LZ
59:17.0,2.56702E+11,U1DD
23:29.9,2.56701E+11,6Q4Z
45:05.7,2.56784E+11,WLIW
46:16.9,2.56781E+11,DJGS
19:07.1,2.56772E+11,P7R7
25:51.3,2.56756E+11,80G0
00:33.8,2.56783E+11,WLIW
47:53.8,2.56753E+11,80G0
02:08.3,2.56785E+11,WLIW
15:49.5,2.56755E+11,WLIW
19:26.9,2.56781E+11,80G0
45:36.2,2.56776E+11,T0LZ
57:22.9,2.56783E+11,WLIW
51:17.0,2.56776E+11,U1DD
25:47.5,2.56772E+11,5YR6
01:42.6,2.56774E+11,WLIW
00:39.9,2.56786E+11,80G0
36:14.9,2.56702E+11,WLIW
48:42.3,2.56393E+11,80G0
25:15.0,2.56703E+11,T0LZ
08:24.5,2.567E+11,80G0
46:58.9,2.56775E+11,WLIW
57:24.9,2.56755E+11,2F3O
59:43.4,2.56776E+11,DJGS
36:37.2,2.56703E+11,WLIW
44:59.2,2.567E+11,U1DD
13:33.4,2.56784E+11,WLIW
26:31.6,2.56707E+11,WLIW
51:22.2,2.56393E+11,80G0
15:53.5,2.56782E+11,U1DD
03:38.7,2.56787E+11,5YR6
33:57.9,2.567E+11,80G0
59:50.2,2.56759E+11,DJGS
22:28.4,2.56701E+11,6Q4Z
48:25.0,2.56705E+11,WLIW
45:06.0,2.56782E+11,80G0
36:00.5,2.56774E+11,WLIW
02:33.1,2.56705E+11,80G0
19:07.8,2.56705E+11,6Q4Z
39:57.7,2.5678E+11,WLIW
01:13.5,2.56772E+11,WLIW
53:28.0,2.56703E+11,WLIW
49:53.3,2.56703E+11,DJGS
12:51.5,2.56774E+11,WLIW
35:47.6,2.56772E+11,P7R7
38:48.5,2.56756E+11,80G0
02:13.5,2.56759E+11,80G0
30:13.1,2.56312E+11,80G0
15:05.1,2.56781E+11,DJGS
05:27.4,2.56758E+11,WLIW
19:09.0,2.56793E+11,80G0
24:03.3,2.56703E+11,WLIW
50:52.5,2.56783E+11,80G0
35:57.5,2.56785E+11,WLIW
25:38.8,2.56787E+11,DJGS
29:11.8,2.56701E+11,0ZFO
15:47.1,2.56755E+11,WLIW
16:36.3,2.56701E+11,6Q4Z
11:34.5,2.56701E+11,WLIW
28:10.2,2.56701E+11,DJGS
52:26.6,2.56703E+11,WLIW
38:54.0,2.56701E+11,T0LZ
18:24.8,2.56789E+11,WLIW
04:01.8,2.56778E+11,80G0
40:09.5,2.56779E+11,WLIW
44:36.5,2.56702E+11,80G0
38:00.4,2.56701E+11,WLIW
07:31.5,2.56774E+11,3USE
24:37.3,2.56704E+11,DJGS
33:08.8,2.56312E+11,WLIW
06:51.3,2.56758E+11,WLIW
22:49.3,2.56701E+11,6Q4Z
58:25.6,2.56701E+11,WLIW
44:13.7,2.56755E+11,WLIW
53:21.3,2.56774E+11,WLIW
16:40.4,2.56701E+11,6Q4Z
28:38.6,2.56705E+11,6Q4Z
51:11.8,2.56752E+11,U1DD
59:35.2,2.56753E+11,WLIW
50:52.7,2.56755E+11,80G0
39:15.7,2.56774E+11,WLIW
11:33.0,2.56751E+11,U1DD
52:54.6,2.56705E+11,WLIW
09:34.0,2.56786E+11,49DG
29:27.1,2.56759E+11,DJGS
01:35.8,2.56777E+11,U1DD
45:36.7,2.56774E+11,U1DD
44:06.8,2.56751E+11,WLIW
39:26.5,2.56774E+11,WLIW
14:12.5,2.56776E+11,80G0
32:12.5,2.56785E+11,3USE
35:10.2,2.56774E+11,WLIW
02:26.8,2.56754E+11,80G0
23:08.0,2.56774E+11,WLIW
13:30.0,2.56782E+11,80G0
23:57.4,2.56704E+11,U1DD
29:24.7,2.56703E+11,DJGS
17:12.5,2.56782E+11,DJGS
48:54.5,2.56789E+11,T0LZ
20:53.7,2.5678E+11,80G0
59:46.5,2.56772E+11,3USE
37:26.8,2.56752E+11,U1DD
14:32.3,2.5676E+11,DJGS
24:32.1,2.56701E+11,WLIW
41:06.9,2.56787E+11,DJGS
35:17.7,2.56782E+11,WLIW
48:27.4,2.56752E+11,WLIW
14:51.1,2.56771E+11,6Q4Z
08:48.8,2.56772E+11,WLIW
01:02.8,2.56707E+11,U1DD
41:52.2,2.56709E+11,U1DD
21:18.6,2.5675E+11,80G0
55:49.3,2.56774E+11,WLIW
51:17.2,2.56788E+11,T0LZ
44:23.0,2.56701E+11,6Q4Z
17:25.1,2.56705E+11,U1DD
16:11.4,2.56777E+11,U1DD
44:52.4,2.56701E+11,6Q4Z
31:47.5,2.56705E+11,CPEH
16:35.7,2.56772E+11,3USE
59:22.6,2.56702E+11,T0LZ
59:26.4,2.56777E+11,WLIW
15:37.0,2.56759E+11,T0LZ
33:47.0,2.56773E+11,WLIW
45:07.9,2.56701E+11,WLIW
08:14.5,2.56702E+11,Q9SJ
24:21.2,2.56786E+11,3USE
50:06.7,2.56774E+11,T0LZ
27:16.0,2.56701E+11,WLIW
17:11.6,2.56701E+11,WLIW
33:26.6,2.56774E+11,80G0
12:13.0,2.56782E+11,CPEH
29:18.7,2.56755E+11,DJGS
36:41.4,2.56774E+11,80G0
20:31.3,2.5678E+11,U1DD
30:33.3,2.56756E+11,80G0
26:55.3,2.56773E+11,DJGS
48:31.5,2.56774E+11,DJGS
51:15.5,2.56779E+11,WLIW
25:35.7,2.56774E+11,DJGS
07:16.5,2.56701E+11,WLIW
41:03.5,2.56701E+11,WLIW
